"mean","cil","ciu","rhat","params"
-3.40609144554744,-6.03904988804019,-0.231903016443789,1.00208119076184,"alpha[189]"
-5.27783481058116,-10.0517209283704,-2.43670029906254,1.00939137610982,"alpha[190]"
-5.28833230849848,-9.87332515159901,-2.48428344603911,1.00481656155186,"alpha[191]"
-5.38551150835265,-10.0932867424709,-2.65475961793479,1.00502352076825,"alpha[192]"
-5.54720462414632,-10.2043108445347,-2.99127411358234,1.00634978528051,"alpha[193]"
-5.17562596201404,-9.80099919675201,-2.09861754861403,1.00525192705583,"alpha[194]"
-5.37621441309732,-10.0016261267079,-2.63805824137345,1.00756924556408,"alpha[195]"
-5.33030567880004,-10.0201549917558,-2.5450261489957,1.0050184701351,"alpha[196]"
-5.19954533478344,-9.87426950163988,-2.24599188991808,1.00522410240875,"alpha[197]"
-5.24791275079594,-9.96460364202704,-2.338858214299,1.00321267448605,"alpha[198]"
-5.2233607051449,-9.92482657451319,-2.22668862828245,1.00327081076498,"alpha[199]"
-6.06237658096206,-10.5982508341385,-3.62957333133407,1.00556896976862,"alpha[200]"
-5.327058506267,-10.0454249629311,-2.52757744831446,1.00490096969981,"alpha[201]"
-5.39939146294208,-9.95250885368386,-2.71596898806455,1.00750897864597,"alpha[202]"
-5.4637969155073,-10.0692436310397,-2.84837249604254,1.00734975641778,"alpha[203]"
-5.46835056184047,-10.0951225617593,-2.85696953619067,1.01006384820823,"alpha[204]"
-3.2579131587895,-5.20145539458217,-1.21977029091336,1.0003747234725,"alpha[205]"
-5.2704372814703,-9.89501171693496,-2.41967225822199,1.00532465573169,"alpha[206]"
-5.44971879677769,-10.2521200317376,-2.7099987015084,1.00504984256276,"alpha[207]"
-5.25106755765004,-9.84275222895069,-2.36960667899685,1.00620275239224,"alpha[208]"
-3.45835759747436,-6.04400858558243,-0.682702048726175,1.00102839113096,"alpha[209]"
-5.22154169651939,-9.81222178631288,-2.31016023411664,1.00404911906989,"alpha[210]"
-5.26334592447758,-9.96833112808543,-2.35769229550362,1.00627121912438,"alpha[211]"
-5.37099030665058,-10.0715634432902,-2.67215516344529,1.00500045175887,"alpha[212]"
-5.27062295881727,-9.96118844720565,-2.40333898075569,1.00583299012333,"alpha[213]"
-5.43236887583537,-10.1500435706542,-2.72384006887086,1.0050120200042,"alpha[214]"
-5.33801853846736,-10.030412441132,-2.51778920752766,1.00695851788219,"alpha[215]"
-5.28047736887231,-9.87633249253175,-2.49268086596158,1.0044043928068,"alpha[216]"
-3.33708534083182,-5.31509712249361,-1.29269396806677,1.00041746443561,"alpha[217]"
-5.2053400449985,-9.86326286328842,-2.23520397736403,1.00770906883213,"alpha[218]"
-5.20825607917777,-9.77913775182352,-2.22639893669208,1.00469991380264,"alpha[219]"
-5.23572812206649,-9.86802308993751,-2.35411511030545,1.00214789797436,"alpha[220]"
-5.34322861747093,-10.0282111119149,-2.53561555650846,1.00258872809132,"alpha[221]"
-5.27748343286473,-9.98701448950129,-2.45988304906455,1.00410952983735,"alpha[222]"
-5.37107731170646,-10.0022392440096,-2.65028989183326,1.00206344945129,"alpha[223]"
-5.23136064302328,-9.8307736087949,-2.28438222055607,1.00272912727437,"alpha[224]"
-5.23895742995943,-9.91287206241439,-2.3605215824173,1.00649572010052,"alpha[225]"
-5.3270744474603,-10.0714421121117,-2.51089654164676,1.00189262409968,"alpha[226]"
-5.21453352781311,-9.93386388943519,-2.23503321138958,1.00491375970858,"alpha[227]"
-5.46780587750828,-10.0749547079367,-2.8529511141993,1.00802204157576,"alpha[228]"
-3.78459685592419,-6.3230036831255,-1.24375153017698,1.00158679174523,"alpha[229]"
